full_name,position,draft_year,salary,ppg_year,ppg,ppg_rank,games
Quintez Cephus,WR,2020,4,NA,NA,NA,NA
Chase Claypool,WR,2020,5,NA,NA,NA,NA
Isaiah Coulter,WR,2020,1,NA,NA,NA,NA
Gabriel Davis,WR,2020,3,NA,NA,NA,NA
Devin Duvernay,WR,2020,2,NA,NA,NA,NA
Bryan Edwards,WR,2020,8,NA,NA,NA,NA
Antonio Gandy-Golden,WR,2020,3,NA,NA,NA,NA
KJ Hamler,WR,2020,3,NA,NA,NA,NA
Tee Higgins,WR,2020,11,NA,NA,NA,NA
John Hightower,WR,2020,1,NA,NA,NA,NA
K.J. Hill,WR,2020,1,NA,NA,NA,NA
Isaiah Hodgins,WR,2020,2,NA,NA,NA,NA
Jalen Hurd,WR,2019,1,NA,NA,NA,NA
Justin Jefferson,WR,2020,20,NA,NA,NA,NA
Van Jefferson,WR,2020,4,NA,NA,NA,NA
Jerry Jeudy,WR,2020,31,NA,NA,NA,NA
Collin Johnson,WR,2020,2,NA,NA,NA,NA
Tyler Johnson,WR,2020,4,NA,NA,NA,NA
CeeDee Lamb,WR,2020,39,NA,NA,NA,NA
Denzel Mims,WR,2020,11,NA,NA,NA,NA
Darnell Mooney,WR,2020,1,NA,NA,NA,NA
Donovan Peoples-Jones,WR,2020,2,NA,NA,NA,NA
Michael Pittman,WR,2020,14,NA,NA,NA,NA
James Proche,WR,2020,1,NA,NA,NA,NA
Jalen Reagor,WR,2020,23,NA,NA,NA,NA
Joe Reed,WR,2020,1,NA,NA,NA,NA
Henry Ruggs,WR,2020,12,NA,NA,NA,NA
Laviska Shenault,WR,2020,15,NA,NA,NA,NA
Jeff Thomas,WR,2020,1,NA,NA,NA,NA
Quez Watkins,WR,2020,1,NA,NA,NA,NA
