mfl_id,fantasypros_id,name,position,age,ecr,team
11399,11830,Ryan Griffin,TE,30.1,300,NYJ
14083,18616,Travis Homer,RB,21.6,300.2,SEA
12632,15577,Kenneth Dixon,RB,26.1,301.2,NYJ
13382,16730,Ricky Seals-Jones,TE,25,302.8,CLE
14120,18565,Gary Jennings,WR,23,303.7,MIA
13144,16454,Elijah McGuire,RB,25.8,304.4,KCC
13611,17248,Josh Adams,RB,23.4,304.6,NYJ
14195,18680,Kahale Warring,TE,23,305.3,HOU
13871,18037,Dontrell Hilliard,RB,25,306.3,CLE
13167,16426,Taywan Taylor,WR,25,311.3,CLE
